Name,Book,Feat Type,Bonus Feat?,Prerequisites,Description
Primitive Caster,Frb 49,General,No,none,Add material components to spells to raise a spell’s effective level
Sea Legs,Frb 49,General,Fighter,none, +2 bonus on Balance and Tumble checks and +1 bonus on Initiative checks while on a ship
Smite Fiery Foe,Frb 50,General,No,Smite ability,Add Charisma modifier on attack roll and character level to damage against creatures with fire subtype
Snowcasting,Frb 50,General,No,Con 13,Add cold descriptor to spell
Frozen Magic,Frb 48,General,No,"Con 13, Snowcasting",Cold spells have higher caster levels in cold weather
Icy Calling,Frb 48,General,No,"Con 13, Snowcasting",Summoned frostfell creatures are stronger in cold weather
Cold Spell Specialization,Frb 47,General,No,"Con 13, Snowcasting, Frozen Magic ",Cold spells do +1 or +2 damage/die in cold weather
Frostfell Prodigy,Frb 48,General,No,"Con 13, Snowcasting, Frozen Magic, Cold Focus",You gain additional bonus spells in cold weather
Snowrunner,Frb 50,General,No,Woodland stride ability,"Move through snow at full speed, +5 competence bonus on Balance checks on ice"
Snowflake Wardance,Frb 50,General,No,"Bardic music ability, Perform (dance) 6 ranks",Add Charisma modifier to attack rolls with one-handed slashing melee weapons
Storm Magic,Frb 50,General,No,none,All spells cast at caster level +1 during storms
Sugliin Mastery,Frb 50,General,Fighter,"Base attack bonus +5, Exotic Weapon Proficiency (sugliin)",Attacks with a sugliin are a standard action
Winter’s Champion,Frb 50,General,No,Paladin level 1st,Gain additional frostfell spells on your paladin spell list
Winter’s Mount,Frb 50,General,No,Special mount ability,Special mount gains cold subtype and +2 Constitution
Craft Skull Talisman,Frb 47,Item Creation,No,Caster level 6th,Create magic skull talismans
Piercing Cold,Frb 49,Metamagic,No,none,Cold spells can damage creatures resistant or immune to cold
Ballista Proficiency,HoB 96,General,Fighter,none,No –4 penalty on attack rolls with ballistae
Block Arrow,HoB 96,General,Fighter,"Dex 13, Shield Proficiency",Deflect one ranged attack per round with shield
Coordinated Shot,HoB 96,General,Fighter,"Point Blank Shot, Precise Shot",Your ranged attacks ignore cover from allies
Courageous Rally,HoB 97,General,No,Bardic music (inspire courage) class feature,Make free rally check when you inspire courage
Expanded Aura of Courage,HoB 97,General,No,Aura of courage class feature,Your aura of courage expands to 60 feet
Expert Siege Engineer,HoB 97,General,Fighter,Profession (siege engineer) 8 ranks, +2 bonus on attack and damage with siege engines
Guerrilla Scout,HoB 97,General,No,none, +1 bonus on initiative checks; Listen and Spot ranks cost 1 skill point
Guerrilla Warrior,HoB 97,General,No,none,Reduce light or medium armor check penalty by 1; Hide and Move Silently ranks cost 1 skill point
Mounted Mobility,HoB 98,General,Fighter,"Mounted Combat, Ride 4 ranks", +4 dodge bonus to AC against some attacks of opportunity while mounted
Natural Leader,HoB 98,General,No,Cha 13, +4 bonus on rally checks
Plunging Shot,HoB 99,General,No,"Dex 13, Point Blank Shot", +1d6 damage against targets below you
Ready Shot,HoB 99,General,No,Point Blank Shot,Readied ranged attack deals +3d6 damage
Shield Wall,HoB 99,General,Fighter,Shield Proficiency,Shield bonus increases by +2 when adjacent to shield wielder
Veteran Knowledge,HoB 99,General,Fighter,"Base attack bonus +2, Knowledge (history) 1 rank", +5 bonus on Knowledge checks made to gain strategic advantage
Extra Followers,HoB 97,Leader,No,"Cha 13, Leadership",Lead twice as many followers
Improved Cohort,HoB 98,Leader,No,"Cha 15, Leadership",Your cohort’s maximum level increases by 1
Inspirational Leadership,HoB 98,Leader,No,"Cha 17, Leadership",Your cohort and followers have exceptional morale
Practiced Cohort,HoB 99,Leader,No,"Cha 15, Leadership",Your cohort shares your teamwork benefits
Archivist of Nature,HoH 119,General,No,Dark knowledge class feature,Dark knowledge works on giants and fey
Bane Magic,HoH 119,General,No,none,Spells deal 2d6 extra damage to specific creature type
Blood Calls to Blood,HoH 120,General,No,"Spontaneous arcane caster, fiend ancestor", +2 save bonus against attacks from fiends
Corrupt Spell Focus,HoH 120,General,No,Nongood alignment, +1 to save DC for all corrupt spells you cast
Greater Corrupt Spell Focus,HoH 123,General,No,"Corrupt Spell Focus, nongood alignment", +2 to save DC for all corrupt spells you cast
Disease Immunity,HoH 121,General,No,Constitution 13,"Immune to one disease, +2 bonus on saves against contracting all other diseases"
Draconic Archivist,HoH 122,General,No,Dark knowledge class feature,Dark knowledge works on constructs and dragons
Dreamtelling,HoH 122,General,No,none,Interpret the symbolism of a dream
Oneiromancy,HoH 123,General,No,"Dreamtelling, spellcaster","Avoid casting mishaps in nightmare realms, gain Spell Focus (enchantment and illusion) in dreamscape, spells cast at dream selves deal nonlethal damage"
Improved Oneiromancy,HoH 123,General,No,"Oneiromancy, Dreamtelling, spellcaster",Gain access to new dream-related spells
Font of Life,HoH 122,General,No,Living creature,Gain an extra save to avoid energy drain
Haunting Melody,HoH 123,General,No,"Bardic music class feature, Perform 9 ranks",Bardic music inspires fear
Master of Knowledge,HoH 123,General,No,none, +1 bonus on Knowledge skill checks
Pure Soul,HoH 124,General,No,"Non-evil alignment, no taint",Gain immunity to taint
Spirit Sense,HoH 124,General,No,"Wis 12, near-death experience",See and speak with the recently dead
Unnatural Will,HoH 124,General,No,"Cha 12, Iron Will",Add Cha modifier to Will saves against fear effects
Touch of Taint,HoH 124,Monstrous,No,"Natural attack dealing ability damage, ability drain, or energy drain",Deal taint to target
Corrupt Arcana,HoH 120,Tainted,No,"Spontaneous caster, mild depravity",Prepare corrupt spell not among your spells known
Eldritch Corruption,HoH 122,Tainted,No,"Metamagic feat, moderate depravity","Enlarge, extend, heighten, or widen a spell at the cost of your ally’s Con damage"
Forbidden Lore,HoH 123,Tainted,No,"Bardic knowledge or lore class feature, mild depravity"," +2, +4, or +6 bonus on bardic knowledge or lore checks regarding sinister topics"
Lunatic Insight,HoH 123,Tainted,No,Mild depravity," +2 initiative bonus, treat all Knowledge skills as if they were trained skills"
Mad Faith,HoH 123,Tainted,No,"Divine spellcaster, mild depravity",Your depravity grants you bonus spells
Surge of Malevolence,HoH 124,Tainted,No,Mild taint," +3, +6, or +9 bonus on a single attack, save, or check"
Debilitating Spell,HoH 120,Tainted,No,"Surge of Malevolence, moderate taint","Spells become evil, deal Con or Wis damage"
Debilitating Strike,HoH 120,Tainted,No,"Surge of Malevolence, moderate taint","Melee attacks become evil, deal Con or Wis damage"
Tainted Fury,HoH 124,Tainted,No,"Con 13, moderate corruption",Gain bonus hit points and a tainted smite attack while in a tainted fury
Willing Deformity,HoH 125,Vile,No,Evil alignment, +3 bonus on Intimidate checks
Deformity (Skin),HoH 121,Vile,No,"Evil alignment, Willing Deformity", +1 natural armor bonus
Deformity (Tall),HoH 121,Vile,No,"Evil alignment, Willing Deformity, Medium size","Gain reach as if Large, take –1 penalty to AC"
Deformity (Teeth),HoH 121,Vile,No,"Evil alignment, Willing Deformity","Gain bite attack, +1 bonus on Intimidate checks"
Deformity (Tongue),HoH 121,Vile,No,"Evil alignment, Willing Deformity",Gain blindsense 30 ft.
Alectomancy Technique,Kan 60,General,No,Ability to summon a familiar,"Upgrade your familiar to a dire rooster, +1 fate bonus to initiative"
Astrology Technique,Kan 61,General,No,Oracle of fate's astromancy or ability to cast a teleportation spell,"Gain one connection level in astromancy and horary astrology, +1 caster level on teleportation spells"
Attuned,Kan 61,General,No,"3 HD, must attune at manaehiesum related to the facet","You may access the travel cords of the web, gain Use Web as a class skill"
Bibliomancy,Kan 61,General,No,none,"Using designated bibliomancy book, gain +2 bonus on Int checks to remember details about past experiences"
Charioteer,Kan 61,General,Fighter,"Ride 1 rank, Mounted Combat","Apply abilities from the Ride skill to driving a chariot, cart, or similar vehicle"
Chariot Archery,Kan 61,General,Fighter,none,"No penalty for using a ranged weapon in a chariot, cart, or similar vehicle"
Class Freedom,Kan 61,General,No,5 HD,"Character can return to a class that normally doesn't allow it, such as paladin"
Chronomancy,Kan 61,General,No,none,"When you start your day, roll d6 to determine if it will be a lucky, normal, or unlucky day"
Cord Bane,Kan 61,General,No,Knowledge (cords) 5 ranks,"Add +1 to the DC for all saves vs corded creatures when using spells, etc"
Cord Disruptor,Kan 62,General,No,Tear the Cord and Cut the Cord class abilities,Add +1 to the DC for Tear the Cord and Cut the Cord class abilities
Cord Focus,Kan 62,General,No,Attuned to same facet as Cord Focus feat, +3 to Use Web when dealing with the web assoc with this facet
Cord Soul,Kan 62,General,No,Cha 11, +4 on all Con checks made on the cords and no -1 penalty when cord traveling
Cordkin Familiar,Kan 62,General,No,"3 HD, ability to acquire a new familiar",The character's familiar gains the cordkin template
Empathic Strike,Kan 62,General,No,"Weapon Focus with chosen melee weapon, transfer damage supernatural ability",May chose to transfer damage through chosen weapon 1/round in addition to the weapon's normal damage
Expedited Absorption,Kan 62,General,No,1st level empathic healer,Use any of the absorption abilities as a move action
"Absorption, Quickened",Kan 60,General,No,"11th level empathic healer, Expedited Absorption feat",Use any of the absorption abilities as a swift action 3/day
Extra Potent Poison,Kan 62,General,No,"Poison Master, Craft (poison) 15 ranks", +2 competence bonus to DC of all poisons of the same type as the poison expert made by the character
Fate Thief,Kan 63,General,No,Steal fate class ability,Increase the modifiers of the steal fate class ability by +1/-1
"Fate Thief, Improved",Kan 63,General,No,Fate Thief feat,Increase the modifiers of the steal fate class ability by another +1/-1
Fate Donor,Kan 63,General,No,Reverse fate class ability,Increase the modifiers of the reverse fate class ability by -1/+1
"Fate Donor, Improved",Kan 63,General,No,Fate Donor feat,Increase the modifiers of the reverse fate class ability by another -1/+1
Fate Power,Kan 63,General,No,Steal fate class ability," +1 to DC of steal fate class ability, and an additional +1 against corded creatures"
Fate Specialist,Kan 63,General,No,Improved Fate Thief and Improved Fate Donor,Increase the modifiers of the steal fate class ability by another +1/-1 and the reverse fate class ability by another -1/+1
Freakish Spines,Kan 63,General,No,Skal race,Add natural armor bonus to damage when you damage someone while grappling
Increased Hit Dice,Kan 63,General,No,none,Your hit dice for one class's hit points increases
Linguist,Kan 63,General,No,none,"If you know or learn a language with dialects, you know all the dialects"
Master of the Basics,Kan 64,General,No,Ability to cast 2nd level spells,Add double your primary spellcasting ability modifer to the number of 0-level spells you can cast per day
Noble Born,Kan 64,General,No,1st level character only,"Diplomacy and Knowledge (nobility and royalty) are always class skills for you. Also, if you gain the Leadership feat you have +2 to your Leadership score"
One With Nature's Friends,Kan 64,General,No,"Cha 17, animal companion",Your class level is considered to be 4 levels greater when considering the level of companion animal available
Pass of the Cords,Kan 64,General,No,"Cha 15, 1st level cord arcane or defender of the cord","1/day as a supernatural ability, rebuke, command, or bolster cord creatures as an evil cleric rebukes undead"
Poison Use,Kan 64,General,No,"Con 13 and Dex 13, or racial or class bonus to saves vs poison",Your character never risks accidentally poisoning themselves when applying poisons
Pure Soul,Kan 64,General,No,"Cha 17, paladin's mount class ability","Up to 4 of your non-paladin classes count toward your class level when determining the paladin mount abilities. Also, +5 to the paladin't lay on hands ability"
Reduce Suffering,Kan 64,General,No,"Cha 13, self-heal supernatural ability",Transform HP damage you have sustained to non-lethal damage as a free action 1/round
Reven Guide,Kan 64,General,No,Reven race," +2 shadow bonus to Hide, Move Silently, and melee attack rolls when using the deep roads. Add +5ft to darkvision"
Reversal,Kan 64,General,Fighter,Base attack +5 or Improved Unarmed Combat feat,"1/combat, gain +10 to a grapple check to defend against an initial grapple or break free of an established grapple"
Shield Web,Kan 64,General,No,7th level defender of the cord,Grant a touched creature chromatic resistance based on your class bonus
Showmanship,Kan 65,General,No,Strut your stuff class ability,Your strut your stuff class ability grants an additional +1 morale bonus to attack and AC
Startouched,Kan 65,General,No,Born under the appropriate birth moon,You gain a bonus on skill checks involving your optimal career
Bazi Technique,Kan 61,General,No,Startouched feat,Double the numerical benefit of the Starborn and Startouched feats during your birth month
Starborn,Kan 65,General,No,Startouched feat,"You gain the benefit of the lucky action of your birth sign, and can reroll a skill check involving your optimal career 1/day"
Starblessed,Kan 65,General,No,"Starborn, Startouched","You benefit from your birthstone's special defensive properties, and use the reroll ability of the Starborn feat one additional time per day"
Suffering Unto Death,Kan 65,General,No,"13 Wis, transfer damage supernatural ability",You can use the transfer damage supernatural ability against undead creatures
Pain Unto Death,Kan 64,General,No,Suffering Unto Death feat,Your transfer damage supernatural ability does double damage vs undead creatures
Toughness,Kan 65,General,No,none,Gain +3 HPs. Any rolls of 1 on HP rolls increase to the average roll for the hit dice rounded down
Web Adaptation,Kan 65,General,No,Use Web 5 ranks,Character doesn't suffer -1 to caster level when casting spells in the web
Web Defense,Kan 66,General,No,"Use Web 10 ranks, Web Adaptation feat","Character gains +1 resistance to acid, cold, electricity, fire, and sonic damage"
Unnatural Power,Kan 66,General,No,Cut the cord class ability,"Your tear the cord and cut the cord class ability DCs increase by +1, and an additional +1 against corded creatures"
Unnatural Strike,Kan 66,General,No,Steal fate class ability,You may choose to use your steal fate class ability 1/round when making your primary melee attack. The DC increases by the magical bonus
Fey Power,Kan 63,Heritage,No,Feyeigh race or Fey Heritage feat,Gain spell-like abilities
Gift of Suffering,Kan 63,Heritage,No,Transfer damage supernatural ability,Transfer an additional 1d8 HPs when using the transfer damage ability
Artistic Summons,Kan 61,Metamagic,No,Paint creature class ability,You may use one additional painting to modify a summoned creature
Cord-Infused Spell,Kan 62,Metamagic,No,Ability to cast 1st level divine spells,Character may pray for spells that do additional elemental damage
"Cord-Infused, Improved",Kan 62,Metamagic,No,"Ability to cast 3rd level divine spells, Cord-Infused feat",Character may pray for spells that do even more elemental damage
Cord Summons,Kan 62,Metamagic,No,Ability to cast a summon monster spell,Your summon monster spells can be used to summon cord tenders
Prodigy Caster,Kan 64,Metamagic,No,Master of the Basics feat,"All 0-level spells, of either arcane or divine, are cast as a swift action"
Web-Channeled Spell,Kan 65,Metamagic,No,Ability to cast 1st level arcane spells,Character may prepare spells that do additional elemental damage
"Web-Channeled Spell, Improved",Kan 65,Metamagic,No,"Ability to cast 3rd level arcane spells, Web-Channeled Spell feat",Character may prepare spells that do additional elemental damage
Goblin Matron,Kan 63,Racial,No,"Goblin or gyri race, female gender, 5 HD"," +2 bonus to Cha checks vs goblins and Gyri, +2 to leadership score but only if all her followers are goblins or gyri"
Goblin Mother,Kan 63,Racial,No,"Goblin Matron feat, 8 HD","Character grows in size, with changes to modifiers"
Tie to History,Kan 65,Racial,No,"Seraphin race, non-evil","Gain spell resistance equal to 5+ the character's Cha modifier, 2/magic damage reduction, and a +1 energy resistance to acid, cold, and electricity damage"
Ulvyn Pull,Kan 66,Racial,No,"Ulvyn race, 3 HD"," +1 caster level to all acid, cold, electricity, fire, and sonic spells cast by you"
Corpsecrafter,LM 25,General,No,none,Undead gain +4 Str and +2 hp per Hit Die
Bolster Resistance,LM 25,General,No,Corpsecrafter,Undead gain +4 turn resistance
Deadly Chill,LM 25,General,No,Corpsecrafter,Undead deal +1d6 cold damage on melee attacks
Destruction Retribution,LM 26,General,No,Corpsecrafter,Undead deal negative energy damage when killed
Hardened Flesh,LM 27,General,No,Corpsecrafter,Undead gain +2 natural armor
Nimble Bones,LM 29,General,No,Corpsecrafter,Undead gain +4 to initiative and +10 ft./round
Daunting Presence,LM 25,General,Fighter,"Cha 13, base attack bonus +1",Overawe enemy to make it shaken
Enduring Life,LM 26,General,No,none,Ignore penalties from negative levels
Lasting Life,LM 28,General,No,"Endurance, Enduring Life",Purge negative levels with Will saves
Empower Turning,LM 26,General,No,Ability to turn or rebuke undead,Can turn more undead
Ghost Scarred,LM 27,General,No,Knowledge (religion) 8 ranks," +2 on attacks, damage, saves against incorporeal undead"
Graft Flesh,LM 27,General,No,Heal 10 ranks,You can apply grafts of a certain type
Heighten Turning,LM 27,General,No,"Cha 13, Extra Turning",Can turn more powerful undead
Improved Toughness,LM 27,General,No,Base Fortitude save bonus +2,Gain hp equal to your current HD
Mother Cyst,LM 28,General,No,"Caster level 1st, Knowledge (religion) 2 ranks",Internal undead cyst allows access to special spells
Necromantic Presence,LM 28,General,No,none,Undead in your presence gain +4 turn resistance
Necromantic Might,LM 28,General,No,Necromantic Presence,Undead in your presence gain +2 on attack rolls and damage rolls
Necropotent,LM 29,General,Fighter,"Proficiency with selected weapon, Weapon Focus with selected weapon, Weapon Specialization with selected weapon, fighter level 4th", +4 damage with selected weapon against undead
Quicken Turning,LM 29,General,No,Ability to turn or rebuke undead,Can turn undead as a free action
Requiem,LM 29,General,No,"Bardic music, Perform (any) 8 ranks",Bardic music affects undead
Stitched Flesh Familiar,LM 30,General,No,"Ability to acquire a new familiar, ability to cast three or more necromancy spells","Familiar gains undead qualities, and you can control 4 extra HD of undead"
Tomb-Tainted Soul,LM 31,General,No,Nongood,Heal with negative energy as an undead creature
Tomb-Born Fortitude,LM 30,General,No,"Nongood, Tomb-Tainted Soul","25% crit resistance, no massive damage risk"
Tomb-Born Resilience,LM 30,General,No,"Nongood, Tomb-Tainted Soul"," +2 on saves vs. mental influence, poison, disease"
Tomb-Born Vitality,LM 31,General,No,"Nongood, Tomb-Tainted Soul","Forego sleep, immunity to magic sleep effects"
Undead Leadership,LM 31,General,No,"Character level 6th, nongood, Knowledge (religion) 1 rank",Attract undead followers and cohort
Unquenchable Flame of Life,LM 31,General,No,none, +2 bonus on saves against undead attacks
Vampire Hunter,LM 31,General,No,Knowledge (religion) 6 ranks,"Detect vampires, immunity to dominating gaze"
Divine Accuracy,LM 26,Divine,No,Ability to turn or rebuke undead,Ignore miss chance for incorporealness
Profane Lifeleech,LM 29,Divine,No,Ability to rebuke undead,Steal 1d6 hp from nearby creatures
Profane Vigor,LM 29,Divine,No,"Cha 11, ability to rebuke undead",Grant 1d8 hp to nearby undead allies
Sacred Vengeance,LM 30,Divine,No,Ability to turn or rebuke undead, +2d6 on melee attacks against undead
Sacred Vitality,LM 30,Divine,No,Ability to turn undead,"Gain immunity to ability damage, ability drain, and energy drain"
Spurn Death’s Touch,LM 30,Divine,No,Ability to turn undead,"Heal ability damage, paralysis, negative level"
Energize Spell,LM 26,Metamagic,No,"Nonevil, no ability to rebuke undead",Deal 50% extra damage to undead
Enervate Spell,LM 26,Metamagic,No,"Nongood, no ability to turn undead",Deal 50% extra damage to living creatures
Fell Animate,LM 26,Metamagic,No,none,Creatures slain by the spell rise as zombies
Fell Drain,LM 27,Metamagic,No,none,Creatures hurt by the spell gain a negative level
Fell Frighten,LM 27,Metamagic,No,none,Creatures damaged by the spell are also shaken
Fell Weaken,LM 27,Metamagic,No,none,Creatures damaged by the spell also take –4 Str
Baleful Moan,LM 24,Monstrous,No,"Undead type, incorporeal subtype, Daunting Presence",Emit a terrifying moan
Contagious Paralysis,LM 25,Monstrous,No,Paralysis extraordinary or supernatural ability,Paralysis spreads to those who touch target
Corrupted Wild Shape,LM 25,Monstrous,No,"Undead type, wild shape class feature",Undead druids retain ability to wild shape
Death Master,LM 26,Monstrous,No,"Cha 13, undead type, Daunting Presence, base attack bonus +1","On your critical hit, target is also shaken"
Eviscerator,LM 26,Monstrous,No,"Cha 13, undead type, Daunting Presence, Death Master, Improved Critical, base attack bonus +1","On your critical hit, foe and its allies are shaken"
Empowered Ability Damage,LM 26,Monstrous,No,"Cha 11, undead type, incorporeal subtype, supernatural ability to drain or damage an ability score",Increase variable effects of ability damage or ability drain
Endure Sunlight,LM 26,Monstrous,No,Sunlight powerlessness or sunlight-related weakness,Resist dangerous effects of sunlight
Ghostly Grasp,LM 27,Monstrous,No,"Cha 15, incorporeal subtype",Use corporeal items
Improved Energy Drain,LM 27,Monstrous,No,"Cha 15, energy drain supernatural ability",Draw extra power from energy-drained victims
Spell Drain,LM 30,Monstrous,No,"Cha 15, energy drain supernatural ability, Improved Energy Drain, caster level 5th",Gain spells lost by the negative levels you bestow
Improved Paralysis,LM 27,Monstrous,No,"Undead type, paralysis extraordinary ability", +4 DC to paralysis ability
Improved Turn Resistance ,LM 27,Monstrous,No,Undead type,Increase turn resistance by +4
Life Drain,LM 28,Monstrous,No,"Cha 13, energy drain supernatural ability","Negative levels you bestow deal, gain more hp"
Lifebond,LM 28,Monstrous,No,"Cha 11, undead type",Bond with chosen living creature to gain benefits
Lifesense,LM 28,Monstrous,No,"Cha 13, Con — (no Constitution score)",Living creatures provide illumination
Necrotic Reserve,LM 28,Monstrous,No,"Cha 13, supernatural ability to drain or damage an ability score or drain energy",Drain abilities or levels to survive below 0 hit points
Positive Energy Resistance,LM 29,Monstrous,No,Undead type,Resistance 10 to positive energy effects
Quicken Manifestation,LM 29,Monstrous,No,Ability to manifest from the Ethereal Plane to the Material Plane,Manifest from Ethereal Plane as free action
Aberration Banemagic,LoM 178,General,No,none,Spells deal additional damage against aberrations
Aquatic Spellcasting,LoM 178,General,No,none,Spells work normally underwater
Darkstalker,LoM 179,General,No,none,Hide from creatures with extraordinary senses
Music of the Outer Spheres,LoM 181,General,No,"Perform (any) 11 ranks, bard level 9th","Bardic music can sicken, vitalize, or lull aberrations"
Parrying Shield,LoM 181,General,Fighter,Shield proficiency,Add shield bonus to touch AC
Quick Recovery,LoM 181,General,No,none,Allows new saves against stun and daze
Thrall Bred,LoM 182,General,No,"Humanoid, Con 13",Bonus to damage and saves when protecting charge
Wild Talent,LoM 182,General,No,none,Gain psionic ability and 2 power points
Ocular Spell,LoM 181,Metamagic,No,"Knowledge (dungeoneering) 4 ranks, 2 or more eyes",Cast spells as rays from eyes
Aberration Blood,LoM 178,Aberrant,No,Humanoid,"Grants bonus on skill, allows other aberrant feats"
Aberration Wild Shape,LoM 178,Aberrant,No,"Aberration Blood, wild shape ability",Assume aberration form with wild shape
Bestial Hide,LoM 179,Aberrant,No,Aberration Blood,Gain +1 natural armor bonus per two aberrant feats
Deepspawn,LoM 179,Aberrant,No,"Aberration Blood, one other aberrant feat",Tentacles grant additional attacks
Durable Form,LoM 180,Aberrant,No,Aberration Blood,Gain 2 hp per aberrant feat
Inhuman Reach,LoM 180,Aberrant,No,Aberration Blood,"Increase natural reach by 5 feet, take –1 penalty on melee attack rolls"
Inhuman Vision,LoM 180,Aberrant,No,Aberration Blood,Gain darkvision and bonus on Spot checks
Scavenging Gullet,LoM 181,Aberrant,No,Aberration Blood," +4 bonus against poison, eat anything"
Starspawn,LoM 181,Aberrant,No,"Aberration Blood, one other aberrant feat","Wings grant flight, resistance to cold 5"
Warped Mind,LoM 182,Aberrant,No,Aberration Blood, +1 bonus on Will saves per two aberrant feats
Waterspawn,LoM 182,Aberrant,No,"Aberration Blood, one other aberrant feat","Fins grant Swim bonuses, resistance to cold 5"
Bonus Essentia,MoI 35,General,No,"Con 13, character level 6th",Gain 1 or 2 points of essentia
Double Chakra,MoI 38,General,No,Meldshaper level 9th,Two soulmelds can occupy and be bound to the same chakra
Expanded Soulmeld Capacity,MoI 38,General,No,"Con 15, meldshaper level 1st", +1 essentia capacity for one soulmeld
Heart of Incarnum,MoI 38,General,No,Ability to bind a soulmeld to heart chakra,Gain hp equal to your essentia pool
Improved Essentia Capacity,MoI 38,General,No,"Con 15, essentia pool 2", +1 essentia capacity for incarnum feats
Incarnum-Fortified Body,MoI 38,General,No,none,Gain 2 hp per incarnum feat
Incarnum Resistance,MoI 38,General,No,No essentia pool, +2 on saves against soulmelds and effects
Necrocarnum Acolyte,MoI 39,General,No,"Ability to shape soulmelds, nongood alignment", +1 profane bonus on necrocarnum soulmelds
Open Greater Chakra,MoI 39,General,No,"Con 17, character level 18th",Bind a soulmeld or magic item to a greater chakra
Open Least Chakra,MoI 39,General,No,"Con 13, character level 6th",Bind a soulmeld or magic item to a least chakra
Open Lesser Chakra,MoI 40,General,No,"Con 15, character level 12th",Bind a soulmeld or magic item to a lesser chakra
Shape Soulmeld,MoI 40,General,No,Con 13,You can shape a single soulmeld
Share Soulmeld,MoI 41,General,No,"Ability to shape soulmelds, share spells class feature","Share soulmelds with familiar, animal companion, or special mount"
Split Chakra,MoI 41,General,No,none,Magic item and soulmeld can share a chakra
Divine Soultouch,MoI 37,Divine,No,"Con 13, ability to turn or rebuke undead","Gain 1 essentia, increase essentia capacity for 1 round"
Azure Enmity,MoI 34,Incarnum,No,"Con 13, favored enemy class feature",Add invested essentia to favored enemy checks and damage
Azure Talent,MoI 34,"Incarnum, Psionic",No,"Con 13, a power point reserve",Gain 2 bonus power points per point of invested essentia
Azure Touch,MoI 35,Incarnum,No,"Con 13, lay on hands or wholeness of body class feature",Add invested essentia to class level to enhance healing
Azure Toughness,MoI 35,Incarnum,No,Con 13,"Gain 3 temporary hp per point of invested essentia, counts as Toughness feat for prerequisites"
Azure Turning,MoI 35,Incarnum,No,"Con 13, turn undead class feature",Deal damage to undead with turn check
Azure Wild Shape,MoI 35,Incarnum,No,"Con 13, wild shape class feature",Add invested essentia to natural weapon damage
Cerulean Fortitude,MoI 35,Incarnum,No,Con 13,Add invested essentia to Fortitude saves
Cerulean Reflexes,MoI 35,Incarnum,No,Con 13,Add invested essentia to Reflex saves
Cerulean Will,MoI 35,Incarnum,No,Con 13,Add invested essentia to Will saves
Cobalt Charge,MoI 35,Incarnum,No,Con 13,Add invested essentia to charge attack and damage
Cobalt Critical,MoI 35,Incarnum,No,Con 13,Add invested essentia to melee critical threat confirmation rolls and critical damage
Cobalt Expertise,MoI 35,Incarnum,No,"Con 13, Int 13, Combat Expertise","Add invested essentia to AC and disarm, feint, and trip rolls"
Cobalt Power,MoI 37,Incarnum,No,"Con 13, Str 13, Power Attack","Add invested essentia to damage and bull rush, overrun, and sunder rolls"
Cobalt Precision,MoI 37,Incarnum,No,"Con 13, Point Blank Shot",Add invested essentia to ranged critical threat confirmation rolls and critical damage within 30 ft.
Cobalt Rage,MoI 37,Incarnum,No,"Con 13, rage class feature",Add invested essentia to melee damage and Will saves
Healing Soul,MoI 38,Incarnum,No,"Con 13, Heal 1 rank",Heal your own wounds as swift action
Incarnum Spellshaping,MoI 38,Incarnum,No,"Con 13, ability to cast 1st-level spells",You can use incarnum spells
Indigo Strike,MoI 38,Incarnum,No,"Con 13 and skirmish, sneak attack, or sudden strike class feature","Add invested essentia to skirmish, sneak attack, or sudden strike damage"
Midnight Augmentation,MoI 38,"Incarnum, Psionic",No,"Con 13, ability to manifest 2nd-level psionic powers",Use invested essentia to augment a psionic power
Midnight Dodge,MoI 39,Incarnum,No,"Con 13, Dex 13","Add invested essentia to AC against selected target, counts as Dodge feat for prerequisites"
Midnight Metamagic,MoI 39,Incarnum,No,"Con 13, ability to prepare and cast 1st-level spells, any metamagic feat",Invest essentia into spell to add metamagic effect
Psycarnum Blade,MoI 40,"Incarnum, Psionic",No,"Con 13, ability to form a mind blade",Add +1d6 per point of invested essentia to mind blade attack
Sapphire Fist,MoI 40,Incarnum,No,"Con 13, Stunning Fist","Add invested essentia to stunning attack damage, save DC"
Sapphire Smite,MoI 40,Incarnum,No,"Con 13, ability to smite",Add invested essentia to smite damage and smites per day
Sapphire Sprint,MoI 40,Incarnum,No,Con 13,Add 5 ft. per point of invested essentia to run speed
Soulsight,MoI 41,Incarnum,No,"Con 13, Wis 13, Concentration 4 ranks",Gain limited blindsense
Soultouched Spellcasting,MoI 41,Incarnum,No,Con 13,"Add invested essentia to dispel checks, caster level checks made to defeat spell resistance"
Undead Meldshaper,MoI 41,Monstrous,No,"Int 3, undead type",Use Wisdom instead of Constitution to shape soulmelds
Azure Talent,MoI 34,"Psionic, Incarnum",No,"Con 13, a power point reserve",Gain 2 bonus power points per point of invested essentia
Midnight Augmentation,MoI 38,"Psionic, Incarnum",No,"Con 13, ability to manifest 2nd-level psionic powers",Use invested essentia to augment a psionic power
Psycarnum Blade,MoI 40,"Psionic, Incarnum",No,"Con 13, ability to form a mind blade",Add +1d6 per point of invested essentia to mind blade attack
Psycarnum Crystal,MoI 40,Psionic,No,"Con 13, Psicrystal Affinity, essentia pool",Gain 1 point of essentia while psionically focused
Psycarnum Infusion,MoI 40,Psionic,No,"Con 13, Concentration 4 ranks",Expend psionic focus to fill incarnum receptacle for 1 round
